run,type,module,name,attrname,attrvalue,value
scenario1-3-20211222-17:37:05-12112,attr,Network.server.processor,service_time_processor:mean,source,service_time_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.server.processor,processor_backlog:mean,,,0.057942057942058
scenario1-3-20211222-17:37:05-12112,attr,Network.server.processor,processor_backlog:mean,source,processor_backlog_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.server.processor,pkt_counter_processor:mean,,,1925.19
scenario1-3-20211222-17:37:05-12112,attr,Network.server.processor,pkt_counter_processor:mean,source,pkt_counter_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.server.disk,service_time_disk:mean,,,0.0033238887065084
scenario1-3-20211222-17:37:05-12112,attr,Network.server.disk,service_time_disk:mean,source,service_time_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.server.disk,pkt_counter_disk:mean,,,739.9
scenario1-3-20211222-17:37:05-12112,attr,Network.server.disk,pkt_counter_disk:mean,source,pkt_counter_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.webServer,service_time_ws:mean,,,0.012531248685485
scenario1-3-20211222-17:37:05-12112,attr,Network.webServer,service_time_ws:mean,source,service_time_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.webServer,pkt_counter_ws:mean,,,797.66
scenario1-3-20211222-17:37:05-12112,attr,Network.webServer,pkt_counter_ws:mean,source,pkt_counter_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.clients,pkt_counter:mean,,,192.91542288557
scenario1-4-20211222-17:37:06-12112,attr,Network.clients,pkt_counter:mean,source,pkt_counter_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.clients,response_time:mean,,,1.5562723262464
scenario1-4-20211222-17:37:06-12112,attr,Network.clients,response_time:mean,source,response_time_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.clients,interarrival_time:mean,,,0.025930424081987
scenario1-4-20211222-17:37:06-12112,attr,Network.clients,interarrival_time:mean,source,interarrival_time_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.server.processor,service_time_processor:mean,,,0.00099759703310618
scenario1-4-20211222-17:37:06-12112,attr,Network.server.processor,service_time_processor:mean,source,service_time_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.server.processor,processor_backlog:mean,,,0.046953046953047
scenario1-4-20211222-17:37:06-12112,attr,Network.server.processor,processor_backlog:mean,source,processor_backlog_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.server.processor,pkt_counter_processor:mean,,,1926.42
scenario1-4-20211222-17:37:06-12112,attr,Network.server.processor,pkt_counter_processor:mean,source,pkt_counter_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.server.disk,service_time_disk:mean,,,0.0033382640140663
scenario1-4-20211222-17:37:06-12112,attr,Network.server.disk,service_time_disk:mean,source,service_time_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.server.disk,pkt_counter_disk:mean,,,740.19
scenario1-4-20211222-17:37:06-12112,attr,Network.server.disk,pkt_counter_disk:mean,source,pkt_counter_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.webServer,service_time_ws:mean,,,0.012493125654354
scenario1-4-20211222-17:37:06-12112,attr,Network.webServer,service_time_ws:mean,source,service_time_s,
scenario1-4-20211222-17:37:06-12112,scalar,Network.webServer,pkt_counter_ws:mean,,,800.62
scenario1-4-20211222-17:37:06-12112,attr,Network.webServer,pkt_counter_ws:mean,source,pkt_counter_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.clients,pkt_counter:mean,,,193.9552238806
scenario1-5-20211222-17:37:07-12112,attr,Network.clients,pkt_counter:mean,source,pkt_counter_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.clients,response_time:mean,,,1.5459344520251
scenario1-5-20211222-17:37:07-12112,attr,Network.clients,response_time:mean,source,response_time_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.clients,interarrival_time:mean,,,0.025776515563516
scenario1-5-20211222-17:37:07-12112,attr,Network.clients,interarrival_time:mean,source,interarrival_time_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.server.processor,service_time_processor:mean,,,0.0010012919016041
scenario1-5-20211222-17:37:07-12112,attr,Network.server.processor,service_time_processor:mean,source,service_time_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.server.processor,processor_backlog:mean,,,0.038961038961039
scenario1-5-20211222-17:37:07-12112,attr,Network.server.processor,processor_backlog:mean,source,processor_backlog_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.server.processor,pkt_counter_processor:mean,,,1940.71
scenario1-5-20211222-17:37:07-12112,attr,Network.server.processor,pkt_counter_processor:mean,source,pkt_counter_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.server.disk,service_time_disk:mean,,,0.0033232367567045
scenario1-5-20211222-17:37:07-12112,attr,Network.server.disk,service_time_disk:mean,source,service_time_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.server.disk,pkt_counter_disk:mean,,,750.77
scenario1-5-20211222-17:37:07-12112,attr,Network.server.disk,pkt_counter_disk:mean,source,pkt_counter_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.webServer,service_time_ws:mean,,,0.012485978037135
scenario1-5-20211222-17:37:07-12112,attr,Network.webServer,service_time_ws:mean,source,service_time_s,
scenario1-5-20211222-17:37:07-12112,scalar,Network.webServer,pkt_counter_ws:mean,,,801.28
scenario1-5-20211222-17:37:07-12112,attr,Network.webServer,pkt_counter_ws:mean,source,pkt_counter_s,
